Index,Altitude,kalmanAltitude,kalmanVelocity,kalmanAcceleration,ax,ay,az,islaunch,isApogee1,isApogee2,isApogee3
0,1566.58,1563.29,1.34,0.26,0.09,-10.06,0.38,0,0,0,0
1,1566.78,1564.98,2.24,0.33,0.22,-10.06,0.32,0,0,0,0
2,1567.06,1565.87,3.05,0.36,0.09,-10.06,0.25,0,0,0,0
3,1566.78,1566.37,3.41,0.38,0.15,-10.06,0.37,0,0,0,0
4,1566.68,1566.7,3.42,0.36,0.09,-10.07,0.29,0,0,0,0
5,1567.26,1567.11,3.58,0.36,0.17,-10.07,0.31,0,0,0,0
6,1566.68,1567.22,3.16,0.33,0.07,-10.05,0.38,0,0,0,0
7,1566.68,1567.28,2.74,0.3,0.17,-10.07,0.32,0,0,0,0
8,1566.3,1567.18,2.17,0.25,0.12,-10.07,0.31,0,0,0,0
9,1567.16,1567.33,2.11,0.25,0.14,-10.06,0.39,0,0,0,0
10,1567.26,1567.46,2.03,0.25,0.14,-10.06,0.31,0,0,0,0
11,1567.16,1567.53,1.88,0.23,0.13,-10.06,0.33,0,0,0,0
12,1566.68,1567.46,1.59,0.2,0.11,-10.06,0.37,0,0,0,0
13,1566.87,1567.44,1.41,0.17,0.12,-10.07,0.31,0,0,0,0
14,1566.78,1567.4,1.23,0.15,0.14,-10.06,0.34,0,0,0,0
15,1567.16,1567.44,1.17,0.15,0.11,-10.05,0.36,0,0,0,0
16,1567.06,1567.46,1.08,0.13,0.15,-10.07,0.31,0,0,0,0
17,1566.87,1567.42,0.96,0.11,0.11,-10.07,0.34,0,0,0,0
18,1567.26,1567.47,0.93,0.11,0.16,-10.07,0.33,0,0,0,0
19,1567.26,1567.51,0.89,0.1,0.11,-10.07,0.31,0,0,0,0
20,1567.54,1567.59,0.9,0.11,0.13,-10.06,0.36,0,0,0,0
21,1566.58,1567.48,0.74,0.06,0.11,-10.06,0.31,0,0,0,0
22,1566.78,1567.42,0.63,0.03,0.15,-10.07,0.33,0,0,0,0
23,1566.97,1567.39,0.56,0.01,0.12,-10.05,0.35,0,0,0,0
24,1566.78,1567.34,0.47,-0.02,0.15,-10.07,0.32,0,0,0,0
