Index,Raw altitude,Kalman Altitude,v,a,ax,ay,az,isLaunch,isApogee1,isApogee2,isApogee3
0,1506.18,1510.15,6.64,0.04,-0.06,9.85,-0.38,1,0,0,0
1,1506.37,1510.16,6.64,0.04,-0.19,9.87,-0.35,1,0,0,0
2,1506.28,1510.15,6.64,0.04,-0.1,9.88,-0.33,1,0,0,0
3,1506.18,1510.13,6.62,0.04,-0.05,9.84,-0.23,1,0,0,0
4,1506.09,1510.1,6.59,0.03,-0.06,9.91,-0.21,1,0,0,0
5,1506.09,1510.07,6.57,0.02,0.22,9.87,0.04,1,0,0,0
6,1506.37,1510.09,6.59,0.03,0.34,9.91,-0.34,1,0,0,0
7,1506.57,1510.16,6.69,0.11,0.86,11.99,-0.11,1,0,0,0
8,1506.66,1510.25,6.8,0.18,-0.68,11.82,0.52,1,0,0,0
9,1506.18,1510.3,6.94,0.35,-3.74,15.51,0.93,1,0,0,0
10,1506.76,1510.71,7.76,1.15,-5.46,35.02,-1.1,1,0,0,0
11,1506.47,1511.26,9,2.39,-3.55,50.45,-0.74,1,0,0,0
12,1506.57,1512.2,11.1,4.47,-1.31,78.45,3.17,1,0,0,0
13,1507.9,1513.34,13.31,6.43,-2.81,76.61,-0.04,1,0,0,0
14,1507.9,1514.4,15.36,8.14,-2.04,72.65,-0.23,1,0,0,0
15,1509.52,1515.52,17.13,9.35,-1.15,58.03,-0.85,1,0,0,0
16,1510.77,1516.61,18.55,10.07,-0.36,44.16,-0.73,1,0,0,0
17,1510.96,1517.61,19.76,10.59,0.21,40.08,-0.64,1,0,0,0
18,1511.34,1518.48,20.64,10.79,1.06,31.11,-1.45,1,0,0,0
19,1508.95,1518.77,20.84,10.58,1.88,23.18,-3.89,1,0,0,0
20,1506.47,1518.56,20.54,10.15,1.4,19.19,-5.74,1,0,0,0
21,1511.43,1519.12,20.7,9.73,1.39,12.68,-9.91,1,0,0,0
22,1531.03,1522.83,23.24,9.96,-14.54,9.02,-18.02,1,0,0,0
23,1545.1,1528.39,26.93,10.36,-21.91,2.12,4.23,1,0,0,0
24,1537.54,1532.02,28.75,10.1,0.32,-1.38,14.88,1,0,0,0
25,1524.33,1532.96,28.26,9.13,9.28,-2.55,5.56,1,0,0,0
26,1521.27,1533.21,27.21,8.07,5.66,-1.8,-5.52,1,0,0,0
27,1527.87,1534.44,26.92,7.28,-5,-2.33,-8.47,1,0,0,0
28,1527.39,1535.31,26.23,6.32,-6.75,-6.27,-5.05,1,0,0,0
29,1526.72,1535.86,25.24,5.29,-5.84,-7.64,-4.64,1,0,0,0
30,1530.64,1536.92,24.68,4.47,-6.09,-6.28,-5.4,1,0,0,0
31,1531.98,1538.01,24.19,3.78,-9.3,-2.31,-3.92,1,0,0,0
32,1539.93,1540.25,24.6,3.42,-8.74,-2.27,0.21,1,0,0,0
33,1531.41,1540.67,23.47,2.55,1.28,-5.42,-1.24,1,0,0,0
34,1531.51,1540.95,22.22,1.68,-1.79,-6.23,-10.64,1,0,0,0
35,1536.19,1541.89,21.57,1.07,-7.06,-4.47,-10.72,1,0,0,0
36,1535.81,1542.61,20.83,0.56,-11.19,-0.41,-3.02,1,0,0,0
37,1533.9,1542.83,19.71,-0.05,-4.26,-0.78,-1.48,1,0,0,0
38,1531.31,1542.48,18.15,-0.79,-2.59,-2.03,-4.02,1,0,0,0
39,1533.61,1542.48,16.99,-1.31,-4.94,0.54,-3.75,1,0,0,0
40,1533.99,1542.43,15.8,-1.85,-4.08,-1.3,-4.26,1,0,0,0
41,1534.47,1542.36,14.64,-2.37,-4.28,-2.04,-4.32,1,0,0,0
42,1535.05,1542.32,13.55,-2.83,-4.42,-1.77,-3.7,1,0,0,0
43,1535.33,1542.26,12.54,-3.22,-3.89,-0.23,-2.91,1,0,0,0
44,1535.52,1542.17,11.56,-3.56,-3.4,0.19,-2.72,1,0,0,0
45,1534.76,1541.88,10.46,-3.93,-3.04,-0.35,-3.04,1,0,0,0
46,1535.62,1541.67,9.46,-4.29,-3.28,-1.67,-2.96,1,0,0,0
47,1534.95,1541.31,8.38,-4.66,-3.42,-2.07,-2.77,1,0,0,0
48,1535.14,1540.95,7.37,-4.98,-3.36,-1.77,-2.12,1,0,0,0
49,1535.14,1540.59,6.43,-5.24,-2.49,-0.75,-1.52,1,0,0,0
50,1534.86,1540.17,5.5,-5.47,-2.02,-0.34,-1.54,1,0,0,0
51,1534.28,1539.65,4.56,-5.69,-1.6,-0.21,-2.29,1,0,0,0
52,1533.61,1539.02,3.57,-5.94,-1.86,-1,-2.92,1,0,0,0
53,1534.95,1538.63,2.82,-6.1,-2.42,-1.46,-3.13,1,0,0,0
54,1534.86,1538.22,2.1,-6.27,-3.46,-1.98,-2.64,1,0,0,0
55,1534.66,1537.8,1.41,-6.41,-3.61,-1.66,-1.56,1,0,0,0
56,1534.95,1537.44,0.82,-6.5,-3.23,-1.27,-0.91,1,0,0,0
57,1534.66,1537.06,0.27,-6.55,-1.22,-0.54,-0.61,1,0,0,0
58,1533.61,1536.52,-0.36,-6.63,-0.17,-0.31,-1.86,1,0,0,0
59,1531.41,1535.65,-1.21,-6.77,-0.08,-0.45,-2.68,1,0,0,0
60,1530.26,1534.65,-2.11,-6.93,-1.28,-1.14,-3.98,1,0,0,0
61,1535.62,1534.64,-2.19,-6.85,-4.23,-1.7,-3.76,1,0,0,0
62,1535.33,1534.57,-2.31,-6.79,-5.1,-1.92,-2.57,1,0,0,0
63,1535.43,1534.52,-2.4,-6.73,-4.39,-1.93,0.88,1,0,0,0
64,1534.09,1534.25,-2.64,-6.71,-0.97,-1.54,2.13,1,0,0,0
65,1532.85,1533.8,-3,-6.72,0.8,-1.31,1.71,1,0,0,0
66,1527.77,1532.55,-3.96,-6.89,1.87,-0.77,-1.67,1,0,0,0
67,1529.21,1531.67,-4.57,-6.96,-0.64,-1.22,-5.29,1,0,0,0
68,1532.27,1531.39,-4.67,-6.89,-2.96,-1.75,-5.47,1,0,0,0
69,1531.22,1530.96,-4.9,-6.88,-6.49,-2.95,-3.47,1,0,0,0
70,1530.17,1530.4,-5.23,-6.92,-5.57,-3.48,0.22,1,0,0,0
71,1529.11,1529.73,-5.61,-6.97,-4.09,-3.14,0.54,1,0,0,0
72,1528.64,1529.08,-5.92,-6.95,-0.72,-1.69,-0.03,1,0,0,0
73,1525.77,1528.05,-6.48,-6.99,-0.59,-0.56,-2.12,1,0,0,0
74,1525.19,1527.05,-6.98,-7.01,-1.07,-0.39,-3.04,1,0,0,0
75,1525.58,1526.24,-7.3,-6.98,-2.1,-0.98,-3.02,1,0,0,0
76,1524.52,1525.35,-7.66,-6.98,-2.92,-1.5,-2.39,1,0,0,0
77,1524.24,1524.53,-7.94,-6.95,-3.03,-1.58,-1.93,1,0,0,0
78,1522.9,1523.6,-8.28,-6.94,-2.85,-1.12,-1.43,1,0,0,0
79,1522.61,1522.77,-8.49,-6.86,-2.67,-0.21,-0.61,1,0,0,0
80,1522.61,1522.06,-8.57,-6.75,-2.26,0.1,0.02,1,0,0,0
81,1522.23,1521.4,-8.6,-6.62,-0.4,0.2,1.03,1,0,0,0
82,1521.18,1520.67,-8.68,-6.52,1.65,-0.04,1.3,1,0,0,0
83,1520.89,1520,-8.7,-6.41,2.58,-0.25,0.9,1,0,0,0
84,1516.69,1518.73,-9.2,-6.46,4.14,-0.72,-2.84,1,0,0,0
85,1513.73,1517.13,-9.92,-6.58,1.77,-0.98,-7.95,1,0,0,0
86,1516.4,1516.19,-10.08,-6.53,-0.45,-1.02,-9.17,1,0,0,0
87,1522.33,1516.39,-9.31,-6.19,-6.94,-0.62,-9.9,1,0,0,0
88,1522.04,1516.59,-8.56,-5.86,-12.93,0.33,-4.82,1,0,0,0
89,1522.04,1516.81,-7.82,-5.54,-13.47,0.56,0.28,1,0,0,0
90,1522.71,1517.16,-7.01,-5.22,-7,0.28,7.8,1,0,0,0
91,1518.79,1516.86,-6.76,-5.09,5.2,0.35,7.46,1,0,0,0
92,1512.2,1515.53,-7.34,-5.21,7.93,0.28,3.21,1,0,0,0
93,1504.94,1513.16,-8.69,-5.55,4.73,0.56,-8.69,1,0,0,0
94,1513.44,1512.5,-8.62,-5.45,-4.81,0.48,-10.83,1,0,0,0
95,1514.78,1512.18,-8.27,-5.27,-9.9,0.52,-9.22,1,0,0,0
