Index, Altitude, Velocity, Acceleration, Rawalt, Rawac  
0,1531.52,0.58,10.04,1532.27,10.05,
1,1531.89,1.16,10.18,1532.37,10.32,
2,1532.16,1.76,10.25,1532.65,10.36,
3,1532.40,2.38,10.29,1532.85,10.36,
4,1532.48,2.84,10.31,1532.27,10.37,
5,1532.60,3.32,10.33,1532.46,10.38,
6,1532.66,3.64,10.34,1532.08,10.39,
7,1532.68,3.87,10.36,1531.89,10.40,
8,1532.78,4.20,10.37,1532.27,10.39,
9,1532.95,4.60,10.37,1532.65,10.37,
10,1533.01,4.80,10.37,1532.18,10.38,
11,1533.06,4.94,10.37,1532.08,10.39,
12,1533.09,5.04,10.38,1531.98,10.38,
13,1533.19,5.27,10.38,1532.37,10.37,
14,1533.28,5.48,10.38,1532.37,10.38,
15,1533.31,5.57,10.37,1531.98,10.36,
16,1533.43,5.82,10.37,1532.56,10.38,
17,1533.53,6.03,10.38,1532.46,10.39,
18,1533.60,6.20,10.38,1532.27,10.39,
19,1533.67,6.37,10.38,1532.27,10.37,
20,1533.78,6.60,10.38,1532.56,10.38,
21,1533.87,6.79,10.38,1532.37,10.38,
22,1534.03,7.06,10.38,1532.85,10.38,
23,1534.19,7.34,10.38,1532.94,10.38,
24,1534.30,7.55,10.38,1532.56,10.39,
25,1534.37,7.71,10.38,1532.27,10.38,
26,1534.48,7.91,10.38,1532.46,10.38,
27,1534.60,8.13,10.38,1532.56,10.39,
28,1534.75,8.39,10.38,1532.85,10.38,
29,1534.87,8.60,10.38,1532.56,10.38,
30,1534.94,8.77,10.38,1532.08,10.38,
31,1535.10,9.01,10.38,1532.75,10.39,
32,1535.19,9.20,10.39,1532.18,10.40,
33,1535.24,9.36,10.39,1531.79,10.39,
34,1535.39,9.60,10.38,1532.56,10.38,
35,1535.52,9.82,10.38,1532.37,10.38,
36,1535.66,10.04,10.38,1532.37,10.39,
37,1535.82,10.28,10.39,1532.56,10.39,
38,1536.02,10.55,10.39,1532.94,10.39,
39,1536.25,10.84,10.38,1533.23,10.38,
40,1536.41,11.07,10.38,1532.56,10.38,
41,1536.56,11.29,10.38,1532.27,10.38,
42,1536.70,11.51,10.38,1532.27,10.37,
43,1536.88,11.75,10.38,1532.56,10.38,
44,1537.06,11.99,10.38,1532.56,10.37,
45,1537.23,12.22,10.38,1532.37,10.38,
46,1537.44,12.47,10.38,1532.75,10.38,
47,1537.64,12.72,10.38,1532.65,10.39,
48,1537.84,12.96,10.38,1532.65,10.37,
49,1538.04,13.20,10.38,1532.56,10.38,
50,1538.25,13.45,10.38,1532.65,10.39,
51,1538.51,13.72,10.38,1533.23,10.38,
52,1538.70,13.95,10.38,1532.37,10.38,
53,1538.92,14.19,10.38,1532.56,10.38,
54,1539.12,14.42,10.38,1532.46,10.39,
55,1539.33,14.65,10.38,1532.37,10.37,
56,1539.54,14.89,10.38,1532.37,10.39,
57,1539.76,15.12,10.38,1532.37,10.38,
58,1539.98,15.35,10.38,1532.46,10.38,
59,1540.22,15.59,10.38,1532.56,10.37,
60,1540.47,15.84,10.38,1532.75,10.38,
61,1540.69,16.07,10.38,1532.27,10.38,
62,1540.94,16.31,10.38,1532.65,10.38,
63,1541.21,16.55,10.38,1532.85,10.38,
64,1541.45,16.78,10.38,1532.37,10.37,
65,1541.69,17.01,10.38,1532.37,10.38,
66,1541.99,17.27,10.38,1533.23,10.39,
67,1542.24,17.50,10.38,1532.37,10.39,
68,1542.53,17.74,10.38,1533.04,10.38,
69,1542.78,17.97,10.38,1532.37,10.38,
70,1543.09,18.22,10.38,1533.23,10.39,
71,1543.34,18.44,10.39,1532.27,10.40,
72,1543.59,18.66,10.39,1532.27,10.39,
73,1543.91,18.90,10.39,1533.23,10.39,
74,1544.17,19.13,10.38,1532.37,10.38,
75,1544.43,19.34,10.38,1532.27,10.39,
76,1544.68,19.55,10.38,1531.98,10.38,
77,1544.96,19.77,10.38,1532.37,10.39,
78,1545.24,20.00,10.38,1532.56,10.38,
79,1545.53,20.22,10.38,1532.46,10.38,
80,1545.79,20.42,10.38,1531.98,10.38,
81,1546.07,20.63,10.38,1532.27,10.37,
82,1546.35,20.85,10.38,1532.37,10.38,
83,1546.66,21.07,10.38,1532.65,10.37,
84,1546.96,21.28,10.38,1532.56,10.39,
85,1547.26,21.49,10.38,1532.56,10.38,
86,1547.52,21.69,10.38,1531.89,10.39,
87,1547.80,21.89,10.38,1532.08,10.38,
88,1548.10,22.10,10.38,1532.46,10.39,
89,1548.43,22.31,10.38,1532.94,10.38,
90,1548.75,22.52,10.38,1532.85,10.38,
91,1549.06,22.72,10.38,1532.65,10.38,
92,1549.37,22.92,10.38,1532.56,10.39,
93,1549.70,23.13,10.38,1533.04,10.37,
94,1550.01,23.32,10.38,1532.56,10.39,
95,1550.31,23.51,10.38,1532.56,10.39,
96,1550.60,23.70,10.38,1532.08,10.38,
97,1550.90,23.88,10.38,1532.37,10.39,
98,1551.19,24.06,10.38,1532.27,10.39,
99,1551.51,24.25,10.39,1532.65,10.39,
100,1551.80,24.43,10.39,1532.27,10.40,
101,1552.08,24.60,10.39,1531.98,10.39,
102,1552.38,24.77,10.39,1532.27,10.39,
103,1552.67,24.94,10.39,1532.27,10.38,
104,1552.96,25.11,10.38,1532.08,10.37,
105,1553.29,25.29,10.38,1533.13,10.38,
106,1553.61,25.46,10.38,1532.85,10.38,
107,1553.94,25.63,10.38,1533.13,10.37,
108,1554.23,25.79,10.38,1532.27,10.38,
109,1554.54,25.95,10.38,1532.85,10.38,
110,1554.84,26.11,10.38,1532.65,10.37,
111,1555.17,26.27,10.38,1533.32,10.37,
112,1555.48,26.43,10.38,1532.94,10.38,
113,1555.77,26.57,10.38,1532.37,10.40,
114,1556.05,26.71,10.38,1532.37,10.39,
115,1556.34,26.86,10.38,1532.56,10.38,
116,1556.62,26.99,10.38,1532.27,10.38,
117,1556.89,27.12,10.38,1532.27,10.38,
118,1557.18,27.26,10.38,1532.65,10.36,
119,1557.44,27.38,10.37,1532.08,10.36,
120,1557.73,27.51,10.37,1532.94,10.38,
121,1558.01,27.64,10.38,1532.65,10.38,
122,1558.30,27.77,10.38,1532.85,10.38,
123,1558.57,27.89,10.38,1532.56,10.38,
124,1558.82,28.00,10.38,1532.27,10.39,
125,1559.07,28.11,10.38,1532.27,10.40,
126,1559.31,28.21,10.38,1531.89,10.38,
127,1559.55,28.31,10.38,1532.18,10.39,
128,1559.82,28.42,10.38,1532.85,10.38,
129,1560.07,28.52,10.38,1532.46,10.39,
130,1560.30,28.61,10.38,1531.98,10.38,
131,1560.52,28.70,10.39,1531.98,10.40,
132,1560.75,28.79,10.38,1532.08,10.38,
133,1560.95,28.87,10.39,1531.70,10.39,
134,1561.18,28.96,10.39,1532.37,10.40,
135,1561.40,29.04,10.39,1531.98,10.39,
136,1561.62,29.12,10.39,1532.27,10.39,
137,1561.84,29.20,10.39,1532.37,10.39,
138,1562.06,29.28,10.38,1532.37,10.38,
139,1562.27,29.35,10.39,1532.18,10.39,
140,1562.46,29.42,10.39,1532.08,10.39,
141,1562.69,29.49,10.38,1532.85,10.38,
142,1562.91,29.57,10.38,1532.75,10.38,
143,1563.10,29.63,10.38,1532.08,10.38,
144,1563.29,29.69,10.38,1532.18,10.38,
145,1563.48,29.74,10.38,1532.37,10.38,
146,1563.65,29.80,10.38,1531.98,10.38,
147,1563.82,29.85,10.38,1531.98,10.38,
148,1564.02,29.90,10.38,1532.65,10.38,
