Index, Altitude, kalmanAltitude, kalmanVelocity, kalmanAcceleration, ax, ay, az, islaunch, isApogee1, isApogee2, isApogee3
0,1563.42,1560.74,0.53,-5.36,-1.14,0.79,-10.21,0,0,0,0
1,1563.03,1561.78,0.27,-7.01,-1.03,0.68,-10.21,0,0,0,0
2,1563.03,1562.18,-0.12,-7.79,-1.19,0.81,-10.19,0,0,0,0
3,1563.61,1562.56,-0.25,-8.24,-0.98,0.76,-10.22,0,0,0,0
4,1563.13,1562.64,-0.81,-8.55,-0.95,0.77,-10.21,0,0,0,0
5,1563.61,1562.82,-1.09,-8.73,-1.3,1.01,-10.13,0,0,0,0
6,1563.32,1562.83,-1.65,-8.89,-1.08,0.59,-10.24,0,0,0,0
7,1563.51,1562.85,-2.11,-9,-1.54,0.85,-10.16,0,0,0,0
8,1563.32,1562.77,-2.71,-9.09,-0.92,0.83,-10.23,0,0,0,0
9,1563.61,1562.74,-3.16,-9.14,-1.14,0.94,-10.19,0,0,0,0
10,1563.7,1562.7,-3.6,-9.17,-0.9,0.76,-10.21,0,0,0,0
11,1563.8,1562.65,-4.04,-9.2,-1.26,0.54,-10.29,0,0,0,0
12,1563.42,1562.46,-4.62,-9.21,-1.66,0.8,-10.18,0,0,0,0
13,1563.32,1562.24,-5.2,-9.23,-0.87,0.41,-10.33,0,0,0,0
14,1563.7,1562.1,-5.64,-9.2,-0.86,0.32,-10.33,0,0,0,0
15,1563.61,1561.92,-6.09,-9.16,-1.32,1.48,-10.1,0,0,0,0
16,1563.8,1561.76,-6.49,-9.09,-1.4,0.94,-10.14,0,0,0,0
17,1563.32,1561.48,-6.99,-9.05,-0.58,0.19,-10.48,0,0,0,0
18,1563.51,1561.25,-7.39,-8.95,-1.59,1.85,-9.89,0,0,0,0
19,1563.61,1561.03,-7.75,-8.84,-1.59,0.78,-10.13,0,0,0,0
20,1563.8,1560.85,-8.05,-8.71,-1.38,1.05,-10.03,0,0,0,0
21,1563.9,1560.67,-8.31,-8.56,-1,1.13,-10.11,0,0,0,0
22,1563.9,1560.48,-8.55,-8.39,-1.51,0.84,-10.11,0,0,0,0
23,1563.22,1560.18,-8.86,-8.25,-1.44,1.23,-9.95,0,0,0,0
24,1564.09,1560.04,-9,-8.04,-1.35,1.23,-10,0,0,0,0
25,1563.61,1559.82,-9.19,-7.85,-1.45,1.15,-10.14,0,0,0,0
26,1563.42,1559.57,-9.37,-7.66,-1.38,1.01,-10.18,0,0,0,0
27,1563.42,1559.34,-9.5,-7.45,-1.24,1.22,-10.11,0,0,0,0
28,1563.13,1559.08,-9.64,-7.25,-1.55,1.21,-10.11,0,0,0,0
29,1563.13,1558.84,-9.73,-7.04,-1.55,0.73,-10.25,0,0,0,0
30,1563.61,1558.71,-9.7,-6.78,0.19,1.49,-10.04,0,0,0,0
31,1563.32,1558.55,-9.68,-6.54,-1.63,1.49,-10.01,0,0,0,0
32,1563.22,1558.39,-9.63,-6.3,-1.05,1.51,-9.9,0,0,0,0
33,1563.32,1558.28,-9.54,-6.04,-1.49,1.9,-9.92,0,0,0,0
34,1563.8,1558.25,-9.36,-5.77,-0.79,1.48,-10.11,0,0,0,0
35,1563.22,1558.15,-9.24,-5.53,-1.31,1.47,-10.04,0,0,0,0
36,1562.94,1558.03,-9.14,-5.3,-1.4,1.37,-10.06,0,0,0,0
37,1563.42,1558,-8.95,-5.06,-0.78,2.04,-10.44,0,0,0,0
38,1563.42,1557.98,-8.74,-4.82,-1.27,1.27,-10.14,0,0,0,0
39,1563.32,1557.97,-8.54,-4.59,-0.43,1.06,-10.37,0,0,0,0
40,1563.51,1558,-8.3,-4.36,-0.89,1.69,-9.97,0,0,0,0
41,1563.32,1558.01,-8.08,-4.14,-1.08,0.5,-10.3,0,0,0,0
42,1562.74,1557.95,-7.92,-3.96,-1.09,0.9,-10.17,0,0,0,0
43,1563.32,1557.99,-7.68,-3.76,-1.33,1.82,-10.02,0,0,0,0
44,1563.42,1558.06,-7.43,-3.57,-0.69,1.42,-10.11,0,0,0,0
45,1563.32,1558.12,-7.19,-3.38,-1.03,1.3,-10.15,0,0,0,0
46,1563.03,1558.15,-6.98,-3.22,-1.67,2.4,-9.67,0,0,0,0
47,1563.03,1558.18,-6.77,-3.06,-2.22,1.78,-9.75,0,0,0,0
48,1563.42,1558.28,-6.53,-2.9,-0.09,1.18,-10.32,0,0,0,0
49,1563.99,1558.46,-6.22,-2.73,-2.15,2.01,-9.63,0,0,0,0
50,1563.42,1558.56,-5.99,-2.59,-2.49,2.09,-10.11,0,0,0,0
51,1563.8,1558.71,-5.74,-2.44,-1.04,2.13,-10.06,0,0,0,0
52,1564.18,1558.91,-5.45,-2.3,-2.19,1.83,-9.84,0,0,0,0
53,1563.8,1559.05,-5.22,-2.18,-2.31,1.44,-10.03,0,0,0,0
54,1563.99,1559.2,-4.99,-2.06,-1.45,0.94,-10.1,0,0,0,0
55,1563.8,1559.33,-4.79,-1.95,-1.01,1.92,-9.99,1,0,0,0
56,1563.8,1559.45,-4.6,-1.86,-1.37,1.42,-10.03,1,0,0,0
57,1563.42,1559.52,-4.45,-1.78,-1.49,2.04,-9.87,1,0,0,0
58,1563.32,1559.57,-4.32,-1.71,-1.53,2.07,-10.1,1,0,0,0
59,1563.13,1559.6,-4.22,-1.65,-0.97,1.48,-10.3,1,0,0,0
60,1563.13,1559.63,-4.1,-1.59,-0.93,1.36,-9.7,1,0,0,0
61,1563.51,1559.72,-3.96,-1.52,-2.08,2.98,-9.66,1,0,0,0
62,1563.03,1559.74,-3.87,-1.47,-0.22,2.18,-10.19,1,0,0,0
63,1563.32,1559.79,-3.76,-1.42,-0.27,-1.13,-11.17,1,0,0,0
64,1563.22,1559.84,-3.66,-1.37,-0.24,0.78,-10.21,1,0,0,0
65,1563.42,1559.91,-3.55,-1.32,-2.55,2.07,-9.6,1,0,0,0
66,1563.22,1559.96,-3.45,-1.28,-0.55,1.1,-10.09,1,0,0,0
67,1563.51,1560.04,-3.34,-1.23,0.1,0.56,-10.39,1,0,0,0
68,1563.42,1560.11,-3.24,-1.19,-0.32,0.62,-10.35,1,0,0,0
69,1563.7,1560.21,-3.13,-1.15,-1.48,0.81,-10.42,1,0,0,0
70,1563.22,1560.24,-3.05,-1.12,-1.44,1.08,-10.01,1,0,0,0
71,1563.61,1560.33,-2.95,-1.08,-2.16,2,-9.79,1,0,0,0
72,1563.61,1560.41,-2.85,-1.04,-1.91,2.68,-9.79,1,0,0,0
73,1563.03,1560.42,-2.81,-1.02,-1.47,2.52,-10.18,1,0,0,0
74,1563.22,1560.45,-2.75,-1,-1.25,2.1,-10.12,1,0,0,0
75,1563.22,1560.49,-2.68,-0.98,-2.47,0.54,-9.36,1,0,0,0
76,1563.61,1560.57,-2.6,-0.95,-2.22,1.72,-9.88,1,0,0,1
77,1563.51,1560.64,-2.53,-0.92,-1.58,2.2,-10.01,1,0,0,1
78,1563.22,1560.67,-2.48,-0.9,-2.17,2.2,-9.71,1,0,0,1
79,1563.99,1560.79,-2.38,-0.87,-2.25,2.74,-9.62,1,0,0,1
80,1563.8,1560.88,-2.3,-0.85,-0.82,2.23,-9.67,1,0,0,1
81,1563.22,1560.89,-2.26,-0.84,-1.47,2.13,-9.91,1,0,0,1
82,1563.42,1560.93,-2.22,-0.82,-1.26,2.04,-9.97,1,0,0,1
83,1563.42,1560.97,-2.17,-0.81,-0.39,1.93,-10.1,1,0,0,1
84,1563.9,1561.07,-2.1,-0.79,-1,2.87,-9.8,1,0,0,1
85,1563.32,1561.09,-2.07,-0.78,-1.6,2.18,-9.96,1,0,0,1
