Index, Altitude, kalmanAltitude, kalmanVelocity, kalmanAcceleration, ax, ay, az, islaunch, isApogee1, isApogee2, isApogee3
0,1561.88,1559.52,0.83,-1.15,9.46,-3.6,-2.26,0,0,0,0
1,1561.88,1560.73,1.28,-1.5,9.47,-3.6,-2.25,0,0,0,0
2,1561.88,1561.48,1.83,-1.65,9.46,-3.61,-2.27,0,0,0,0
3,1561.88,1561.87,2,-1.76,9.44,-3.64,-2.28,0,0,0,0
4,1561.88,1562.18,2.03,-1.83,9.44,-3.66,-2.3,0,0,0,0
5,1561.88,1562.39,1.87,-1.9,9.47,-3.63,-2.28,0,0,0,0
6,1561.88,1562.4,1.39,-1.96,9.45,-3.65,-2.28,0,0,0,0
7,1561.88,1562.32,0.84,-2.02,9.46,-3.65,-2.29,0,0,0,0
8,1561.88,1562.43,0.7,-2.04,9.43,-3.64,-2.28,0,0,0,0
9,1561.88,1562.39,0.36,-2.08,9.44,-3.65,-2.3,0,0,0,0
10,1561.88,1562.52,0.3,-2.08,9.44,-3.65,-2.28,0,0,0,0
11,1561.88,1562.56,0.13,-2.09,9.45,-3.65,-2.29,0,0,0,0
12,1561.88,1562.53,-0.12,-2.11,9.45,-3.64,-2.29,0,0,0,0
13,1561.88,1562.41,-0.43,-2.13,9.45,-3.64,-2.29,0,0,0,0
14,1561.88,1562.39,-0.6,-2.13,9.45,-3.64,-2.28,0,0,0,0
15,1561.88,1562.34,-0.78,-2.13,9.44,-3.64,-2.28,0,0,0,0
16,1561.88,1562.23,-1.02,-2.14,9.44,-3.65,-2.29,0,0,0,0
17,1561.88,1562.15,-1.19,-2.14,9.45,-3.64,-2.28,0,0,0,0
18,1561.88,1562.2,-1.23,-2.1,9.45,-3.65,-2.28,0,0,0,0
19,1561.88,1562.09,-1.41,-2.1,9.46,-3.65,-2.28,0,0,0,0
20,1561.88,1561.96,-1.6,-2.1,9.46,-3.65,-2.29,0,0,0,0
21,1561.88,1561.99,-1.62,-2.05,9.45,-3.65,-2.27,0,0,0,0
22,1561.88,1561.87,-1.78,-2.03,9.43,-3.65,-2.27,0,0,0,0
23,1561.88,1561.77,-1.89,-2.01,9.44,-3.67,-2.28,0,0,0,0
24,1561.88,1561.82,-1.88,-1.94,9.45,-3.66,-2.28,0,0,0,0
25,1561.88,1561.72,-1.98,-1.91,9.44,-3.65,-2.29,0,0,0,0
26,1561.88,1561.71,-2,-1.85,9.45,-3.65,-2.28,0,0,0,0
27,1561.88,1561.65,-2.06,-1.81,9.45,-3.67,-2.29,0,0,0,0
28,1561.88,1561.6,-2.09,-1.76,9.45,-3.65,-2.27,0,0,0,0
29,1561.88,1561.53,-2.14,-1.72,9.44,-3.66,-2.28,0,0,0,0
30,1561.88,1561.48,-2.17,-1.67,9.44,-3.66,-2.28,0,0,0,0
31,1561.88,1561.44,-2.18,-1.61,9.44,-3.65,-2.28,0,0,0,0
32,1561.88,1561.44,-2.15,-1.54,9.45,-3.65,-2.28,0,0,0,0
33,1561.88,1561.36,-2.19,-1.5,9.45,-3.66,-2.28,0,0,0,0
34,1561.88,1561.28,-2.22,-1.46,9.44,-3.66,-2.29,0,0,0,0
35,1561.88,1561.23,-2.22,-1.41,9.45,-3.65,-2.3,0,0,0,0
36,1561.88,1561.16,-2.23,-1.37,9.45,-3.67,-2.28,0,0,0,0
37,1561.88,1561.14,-2.2,-1.31,9.44,-3.66,-2.28,0,0,0,0
38,1561.88,1561.12,-2.16,-1.25,9.45,-3.66,-2.29,0,0,0,0
39,1561.88,1561.1,-2.14,-1.2,9.44,-3.66,-2.29,0,0,0,0
40,1561.88,1561.09,-2.09,-1.14,9.44,-3.66,-2.29,0,0,0,0
41,1561.88,1561.04,-2.08,-1.1,9.45,-3.67,-2.29,0,0,0,0
42,1561.88,1561.1,-1.97,-1.03,9.44,-3.67,-2.28,0,0,0,0
43,1561.88,1561.16,-1.88,-0.97,9.45,-3.66,-2.29,0,0,0,0
44,1561.88,1561.18,-1.82,-0.92,9.44,-3.66,-2.28,0,0,0,0
45,1561.88,1561.21,-1.75,-0.87,9.43,-3.67,-2.29,0,0,0,0
46,1561.88,1561.22,-1.7,-0.82,9.43,-3.67,-2.29,0,0,0,0
47,1561.88,1561.24,-1.64,-0.78,9.45,-3.67,-2.3,0,0,0,0
48,1561.88,1561.24,-1.6,-0.75,9.44,-3.66,-2.29,0,0,0,0
49,1561.88,1561.27,-1.54,-0.71,9.44,-3.67,-2.29,0,0,0,0
50,1561.88,1561.29,-1.49,-0.67,9.45,-3.66,-2.28,0,0,0,0
51,1561.88,1561.35,-1.41,-0.63,9.43,-3.67,-2.29,0,0,0,0
52,1561.88,1561.33,-1.39,-0.61,9.44,-3.67,-2.3,0,0,0,0
53,1561.88,1561.32,-1.36,-0.59,9.44,-3.68,-2.29,0,0,0,0
54,1561.88,1561.37,-1.3,-0.55,9.43,-3.68,-2.28,0,0,0,0
55,1561.88,1561.43,-1.23,-0.52,9.44,-3.67,-2.29,1,0,0,1
56,1561.88,1561.45,-1.19,-0.5,9.44,-3.68,-2.29,1,0,0,1
57,1561.88,1561.52,-1.12,-0.46,9.45,-3.67,-2.28,1,0,0,1
58,1561.88,1561.61,-1.03,-0.43,9.44,-3.66,-2.29,1,0,0,1
59,1561.88,1561.6,-1.02,-0.42,9.44,-3.67,-2.29,1,0,0,1
60,1561.88,1561.6,-1,-0.4,9.43,-3.67,-2.29,1,0,0,1
61,1561.88,1561.6,-0.98,-0.39,9.42,-3.68,-2.29,1,0,0,1
62,1561.88,1561.63,-0.94,-0.37,9.43,-3.66,-2.29,1,0,0,1
63,1561.88,1561.62,-0.93,-0.37,9.44,-3.67,-2.29,1,0,0,1
64,1561.88,1561.68,-0.87,-0.34,9.44,-3.67,-2.3,1,0,0,1
65,1561.88,1561.68,-0.86,-0.33,9.43,-3.67,-2.28,1,0,0,1
66,1561.88,1561.67,-0.85,-0.33,9.43,-3.68,-2.3,1,0,0,1
67,1561.88,1561.71,-0.81,-0.31,9.43,-3.68,-2.3,1,0,0,1
68,1561.88,1561.74,-0.78,-0.3,9.42,-3.68,-2.29,1,0,0,1
69,1561.88,1561.75,-0.76,-0.29,9.43,-3.68,-2.28,1,0,0,1
70,1561.88,1561.79,-0.72,-0.28,9.41,-3.69,-2.29,1,0,0,1
71,1561.88,1561.79,-0.71,-0.27,9.42,-3.69,-2.3,1,0,0,1
72,1561.88,1561.81,-0.69,-0.26,9.43,-3.68,-2.3,1,0,0,1
73,1561.88,1561.81,-0.68,-0.26,9.43,-3.68,-2.29,1,0,0,1
74,1561.88,1561.83,-0.66,-0.25,9.42,-3.68,-2.3,1,0,0,1
75,1561.88,1561.85,-0.64,-0.24,9.42,-3.68,-2.3,1,0,0,1
76,1561.88,1561.85,-0.63,-0.24,9.43,-3.69,-2.3,1,0,1,1
77,1561.88,1561.81,-0.65,-0.24,9.45,-3.66,-2.27,1,0,1,1
78,1561.88,1561.78,-0.65,-0.24,9.43,-3.68,-2.3,1,0,1,1
79,1561.88,1561.78,-0.65,-0.24,9.44,-3.68,-2.28,1,0,1,1
80,1561.88,1561.76,-0.65,-0.24,9.44,-3.66,-2.27,1,0,1,1
81,1561.88,1561.72,-0.66,-0.24,9.44,-3.67,-2.28,1,0,1,1
82,1561.88,1561.7,-0.66,-0.23,9.43,-3.67,-2.3,1,0,1,1
83,1561.88,1561.72,-0.64,-0.23,9.43,-3.68,-2.29,1,0,1,1
84,1561.88,1561.67,-0.66,-0.23,9.42,-3.67,-2.28,1,0,1,1
85,1561.88,1561.71,-0.63,-0.22,9.44,-3.68,-2.28,1,0,1,1
86,1561.88,1561.71,-0.62,-0.22,9.43,-3.68,-2.29,1,0,1,1
87,1561.88,1561.76,-0.59,-0.21,9.45,-3.67,-2.28,1,0,1,1
88,1561.88,1561.8,-0.56,-0.2,9.44,-3.67,-2.28,1,0,1,1
89,1561.88,1561.77,-0.57,-0.2,9.44,-3.67,-2.28,1,0,1,1
90,1561.88,1561.82,-0.53,-0.19,9.44,-3.67,-2.28,1,0,1,1
91,1561.88,1561.84,-0.51,-0.18,9.43,-3.67,-2.29,1,0,1,1
92,1561.88,1561.85,-0.5,-0.18,9.43,-3.68,-2.29,1,0,1,1
93,1561.88,1561.87,-0.49,-0.18,9.43,-3.67,-2.28,1,0,1,1
94,1561.88,1561.93,-0.44,-0.17,9.43,-3.67,-2.28,1,0,1,1
95,1561.88,1561.98,-0.41,-0.16,9.44,-3.67,-2.28,1,0,1,1
96,1561.88,1562.01,-0.39,-0.15,9.45,-3.66,-2.28,1,0,1,1
97,1561.88,1562.06,-0.37,-0.15,9.45,-3.67,-2.27,1,0,1,1
98,1561.88,1562.07,-0.36,-0.14,9.44,-3.67,-2.28,1,0,1,1
99,1561.88,1562.09,-0.35,-0.14,9.43,-3.66,-2.28,1,0,1,1
100,1561.88,1562.1,-0.34,-0.14,9.44,-3.67,-2.29,1,0,1,1
101,1561.88,1562.11,-0.34,-0.14,9.43,-3.69,-2.29,1,0,1,1
102,1561.88,1562.1,-0.35,-0.14,9.44,-3.67,-2.29,1,0,1,1
103,1561.88,1562.08,-0.35,-0.15,9.43,-3.68,-2.28,1,0,1,1
104,1561.88,1562.06,-0.37,-0.15,9.44,-3.67,-2.28,1,0,1,1
105,1561.88,1562.07,-0.36,-0.15,9.44,-3.68,-2.28,1,0,1,1
106,1561.88,1562.03,-0.39,-0.16,9.43,-3.67,-2.28,1,0,1,1
107,1561.88,1562.02,-0.39,-0.16,9.44,-3.67,-2.28,1,0,1,1
108,1561.88,1562,-0.4,-0.16,9.43,-3.66,-2.27,1,0,1,1
109,1561.88,1562,-0.4,-0.16,9.43,-3.68,-2.29,1,0,1,1
110,1561.88,1562.01,-0.4,-0.16,9.43,-3.66,-2.28,1,0,1,1
111,1561.88,1562.03,-0.38,-0.16,9.43,-3.68,-2.29,1,0,1,1
112,1561.88,1562.06,-0.37,-0.16,9.44,-3.68,-2.28,1,0,1,1
113,1561.88,1562.05,-0.37,-0.16,9.43,-3.68,-2.28,1,0,1,1
114,1561.88,1562.07,-0.36,-0.15,9.44,-3.67,-2.28,1,0,1,1
115,1561.88,1562.09,-0.35,-0.15,9.45,-3.68,-2.28,1,0,1,1
116,1561.88,1562.08,-0.35,-0.15,10.08,-4.53,-1.81,1,0,1,1
117,1561.88,1562.08,-0.35,-0.15,6.76,-2.16,-1.57,1,0,1,1
118,1561.88,1562.06,-0.36,-0.15,18.46,-4.86,-1.96,1,0,1,1
